total_ambients,school,parceria,ambient
1,BRINCANDO COM A GENTE,INSTITUTO ASSISTENCIAL GIDEOES,BERCARIO
1,BRINCANDO COM A GENTE,INSTITUTO ASSISTENCIAL GIDEOES,SALA DE AULA PROPRIA         
1,BRINCAR E SORRIR,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,BRINQUEDOTECA
1,BUTANTA,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,SALA RECURSOS MULTIFUNCIONAIS
1,CAMINHANDO PARA O FUTURO,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,BERCARIO
1,CAMINHANDO PARA O FUTURO,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,SALA DE RECREACAO             
1,CAMINHAR E CRESCER,ASS CULTURAL E EDUCACIONAL OLHOS BRILHANTES,SALA DE ED. INFANTIL PROPRIA 
1,CAMINHAR II,ASS DE MORADIA HORTO DO IPE E ADJACENCIAS,SALA DE ED. ESPECIAL PROPRIA 
1,CAMINHAR III,ASS DE MORADIA HORTO DO IPE E ADJACENCIAS,SALA DE ED. INFANTIL PROPRIA 
1,CAMINHO DA FELICIDADE,CAPES - CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL,SALA DE ED. INFANTIL PROPRIA 
1,CAMINHO DOURADO II,INSTITUTO BENEFICENTE EDUC E DE ACAO COMUNITARIA - IBEAC,BERCARIO
1,CAMINHO DOURADO III,INSTITUIÇÃO AQUARELA,BERCARIO
1,CAMPANELA,ASS E CENTRO DE APOIO SOCIAL E EDUC PARAISO INFANTIL ACASEPI,SALA MULTIUSO MUSICA DANCA ART
1,CAMPO BELO,INSTITUTO EDUCACIONAL PROJETANDO O FUTURO,BERCARIO
1,CANDIDO PORTINARI,ASSOCIAÇÃO GUIMU,LABORATORIO DE INFORMATICA    
1,CANDIDO PORTINARI,ASSOCIAÇÃO GUIMU,SALA DE ESTUDO/PESQUISAS
1,CANDIDO PORTINARI,ASSOCIAÇÃO GUIMU,SALA DE LEITURA               
1,CANDIDO PORTINARI,ASSOCIAÇÃO GUIMU,SALA RECUPERACAO/APOIO PEDAG. 
1,CANDIDO PORTINARI,ASSOCIAÇÃO GUIMU,SALA RECURSOS MULTIFUNCIONAIS
1,CANTINHO DA PAZ I,MOVIMENTO DO EDUCAR E APRENDER PARA O FUTURO,BERCARIO
1,CARLOS EDUARDO TUCO,ASS MISSIONARIAS DE SANTISSIMA TRINDADE,SALA DE AULA PROPRIA         
1,CARLOS JACOB,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL PROPRIA 
1,CARROSSEL ENCANTADO,CONSCIENCIA RESPONSABILIDADE EDUCACAO E RESPEITO,BERCARIO
1,CASA DA CRIANCA,ASS DE MORADORES DO JARDIM COMERCIAL E ADJACENCIAS,BRINQUEDOTECA
1,CASA DOS INOCENTES,INSTITUIÇÃO AQUARELA,BERCARIO
1,CCA,CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL,SALA DE RECREACAO             
1,CDHU ITAIM A,ASS DOS MORADORES DO JARDIM AUREA,SALA DE ED. INFANTIL PROPRIA 
1,CECILIA MEIRELES,FEDERACAO ESPIRITA DO ESTADO DE SAO PAULO,LABORATORIO DE INFORMATICA    
1,CECILIA MEIRELES,FEDERACAO ESPIRITA DO ESTADO DE SAO PAULO,SALA DE LEITURA               
1,CECILIA MEIRELES,FEDERACAO ESPIRITA DO ESTADO DE SAO PAULO,SALA RECUPERACAO/APOIO PEDAG. 
1,CEDRO DO LIBANO I,TURMA DA TOUCA ASS CULTURAL RECREATIVA E SOCIAL,SALA DE RECREACAO             
1,CEDRO DO LIBANO II,TURMA DA TOUCA ASS CULTURAL RECREATIVA E SOCIAL,SALA DE RECREACAO             
1,CHACARA BELA VISTA II,INSTTUTO CRIANCA CIDADA,SALA DE AULA PROPRIA         
1,CLUBE DAS LETRINHAS,ASSOCIACAO BENEFICENTE CAVALCANTE,BERCARIO
1,CLUBE DOS LEOEZINHOS,CLUBE DE MAES DO JARDIM VISTA ALEGRE,SALA DE ED. INFANTIL ADAPTADA
1,COHAB SONDA II ROSE VALEZIN,ASSOCIAÇÃO BENEFICENTE COMUNITARIA THEREZINHA DE JESUS,BERCARIO
1,COLMEIA,ASSOCIACAO BENEFICENTE CAVALCANTE,SALA DE RECREACAO             
1,CONOSCO,NUCLEO DE PROMOCAO SOCIAL VENHA CONOSCO,SALA DE RECREACAO             
1,CONSTRUINDO O AMANHA,ASSOCIAÇÃO BENEFICENTE AMARAL OLIVEIRA,SALA DE ED. INFANTIL PROPRIA 
1,CONSTRUINDO O FUTURO,TURMA DA TOUCA ASS CULTURAL RECREATIVA E SOCIAL,SALA DE RECREACAO             
1,COR,INSTITUTO EDUCACIONAL PROJETANDO O FUTURO,SALA DE RECREACAO             
1,CORA CORALINA,ASSOCIAÇÃO BRUNA ROSA,SALA DE AULA PROPRIA         
1,CORACAO DE JESUS,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,BERCARIO
1,CORACAO DO SOL,CONS COMUNIT EDUC CULTURA E ACAO SOCIAL SOL DO AMANHECER,BERCARIO
1,CORUJINHA II,ACAO SOCIAL LARGO 13,SALA DE ED. INFANTIL PROPRIA 
1,CORUJINHA III,ASSOCIAÇÃO CORUJINHA,SALA DE ED. INFANTIL PROPRIA 
