total_ambients,school,parceria,ambient
2,PRIMEIROS CAMINHOS,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,SALA DE ED. INFANTIL PROPRIA 
2,PRINCESA LIVIA,CENTRO DE ACAO SOCIAL ESPACO LIVRE,SALA DE ED. INFANTIL PROPRIA 
2,PRINCESA MELISSA,INSTITUTO DE INTEGRAÇÃO SOCIAL NATALIA REZINO,SALA DE ED. INFANTIL PROPRIA 
2,PRINCESINHA,CRECHE IMACULADA CORACAO DE MARIA DO JARDIM PRINCESA,SALA DE ED. INFANTIL PROPRIA 
2,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA IV,CENTRO DE DESENVOLVIMENTO E AMPARO A PESSOA,SALA DE ED. INFANTIL PROPRIA 
2,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA IX,SERVICO COMUNITARIO DO ITAIM PAULISTA,BERCARIO
2,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNIDADE XI,ASSOCIACAO DE DESENVOLVIMENTO JUVENIL E INFANTIL - ADEJI,BERCARIO
2,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA VI,COMUNIDADE CANTINHO DA PAZ,BERCARIO
2,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA VII,ASS DO JARDIM SAO VICENTE E ADJACENCIAS,SALA DE ED. INFANTIL PROPRIA 
2,PROF,CRUZADA PRO INFANCIA,SALA DE RECREACAO             
2,PROJETO DE VIDA,ASS COMUNITARIA DE SAO MATEUS,BERCARIO
2,QUATRO PILARES DA EDUCACAO I,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,SALA DE ED. INFANTIL PROPRIA 
2,QUATRO PILARES DA EDUCACAO II,ASSOCIAÇÃO QUIÁLTERAS CULTURAIS - A.Q.C,BERCARIO
2,QUATRO PILARES DA EDUCACAO II,ASSOCIAÇÃO QUIÁLTERAS CULTURAIS - A.Q.C,SALA DE ED. INFANTIL PROPRIA 
2,QUERUBIM,ASSOCIACAO SAO GABRIEL,SALA DE ED. INFANTIL PROPRIA 
2,QUERUBINS DA VITORIA,INSTITUTO BINATI,BERCARIO
2,QUINTAL DO BRINCAR,ASS BENEF .COMUNITARIA E CULT. NUCLEO DE ATENDIMENTO SOCIAL,BERCARIO
2,RAINHA ESTHER,ASSOCIACAO CRISTA DE EDUCACAO INFANTIL SHAMMAH,BERCARIO
2,RAIO DE ESPERANCA,INSTITUTO ASSISTENCIAL DE MULHERES JANETE CLAIR,SALA DE ED. INFANTIL PROPRIA 
2,RAIO DE LUZ,ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE,SALA DE AULA PROPRIA         
2,RAIO DE SOL - AMELIA DINIZ ANTAS,SERVICO DE ASSISTENCIA A FAMILIA CASA DA EDITINHA,SALA DE ED. INFANTIL PROPRIA 
2,RAIO DE SOL III,ASS BENEFICENTE PARA HUMANIZACAO SOCIAL,BERCARIO
2,RANC III,ASSOCIAÇÃO ASSISTENCIAL RANC E CIDADES CIRCUNVIZINHAS,SALA DE ED. INFANTIL PROPRIA 
2,RECANTO DA ALEGRIA I,CENTRO SOCIAL DA PAROQUIA DE SANTA TEREZA DE ARTUR ALVIM,BERCARIO
2,RECANTO DA ALEGRIA V,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,BERCARIO
2,RECANTO DA ALEGRIA V,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,SALA DE ED. INFANTIL PROPRIA 
2,RECANTO DOS PEQUENINOS,INSTITUTO NOVO TEMPO MUNDIAL,BERCARIO
2,RECANTO DOS SONHOS,SERVICO COMUNITARIO DO ITAIM PAULISTA,BERCARIO
2,RECRIAR,CENTRO CULTURAL GUERREIROS DE ZUMBI,BERCARIO
2,RECRIAR,CENTRO CULTURAL GUERREIROS DE ZUMBI,SALA DE ED. INFANTIL PROPRIA 
2,REFERENCIA,ASS MISSIONARIA BETEL,SALA DE AULA PROPRIA         
2,REINO ENCANTADO GEGE,ASSOCIACAO BENEFICENTE MANA XV DE NOVEMBRO,BERCARIO
2,RENOVO,SERVICO COMUNITARIO DO ITAIM PAULISTA,SALA DE ED. INFANTIL PROPRIA 
2,REVOLUCAO,INSTITUTO SOCIAL AFRO BRASIL,BERCARIO
2,REVOLUCAO,INSTITUTO SOCIAL AFRO BRASIL,SALA DE ED. INFANTIL PROPRIA 
2,ROSEIRA I,ASS ADONAY DO JARDIM GUAIANASES,BERCARIO
2,ROSEIRA II,ASS ADONAY DO JARDIM GUAIANASES,BERCARIO
2,RUGRATS OS ANJINHOS V,COMEB - CONSELHO DE MINISTROS EVANGELICOS DO BRASIL,BERCARIO
2,RUGRATS OS ANJINHOS VIII,INSTITUTO EDUCACIONAL ANA E RAFAEL,BERCARIO
2,RUTH ROCHA,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,BERCARIO
2,SABOR DE INFANCIA,ASSOCIAÇÃO SANTA EDWIGES,SALA DE ED. INFANTIL PROPRIA 
2,SAGRADO CORACAO DE JESUS,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,BERCARIO
2,SALESIANA DOMINGOS SAVIO,FUNDACAO COMUNIDADE DA GRACA,BERCARIO
2,SAMARITANINHOS I,INSTITUTO SOCIAL AFRO BRASIL,SALA DE AULA PROPRIA         
2,SAMARITANINHOS IV,INSTITUTO ASSISTENCIAL DE MULHERES JANETE CLAIR,BERCARIO
2,SAMARITANINHOS VI,ASSOCIAÇÃO EDUCACIONAL KAUE MARQUES,BERCARIO
2,SAN BENEDETTO,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,BERCARIO
2,SAN LONGINUS,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL PROPRIA 
2,SANTA EDWIGES,INSTITUTO DAS FILHAS E FILHOS DO CORAÇÃO IMACULADO DE MARIA,BERCARIO
2,SANTA EDWIGES,INSTITUTO DAS FILHAS E FILHOS DO CORAÇÃO IMACULADO DE MARIA,SALA DE AULA PROPRIA         
2,SANTA IZABEL,ASS DO ABRIGO NOSSA SRA RAINHA DA PAZ DO JD FIM DE SEMANA,SALA DE ED. INFANTIL PROPRIA 
2,SANTA IZABEL I,ASSOCIAÇÃO BENEFICENTE CONSTRUIR,BERCARIO
2,SANTA MADALENA,ASSOCIAÇÃO BRUNA ROSA,SALA DE RECREACAO             
2,SANTA MARIA GORETE,ACRIA - ASSOCIAÇÃO AMIGA DA CRIANÇA E DO ADOLESCENTE,SALA DE ED. INFANTIL PROPRIA 
2,SANTA MONICA,OBRA ASSISTENCIAL JESUS MENINO,BERCARIO
2,SANTA MONICA,OBRA ASSISTENCIAL JESUS MENINO,SALA DE ED. INFANTIL PROPRIA 
2,SANTA ROSA DE LIMA,CRUZADA PRO INFANCIA,BERCARIO
2,SANTA ZITA,ASS SANTA ZITA,SALA DE AULA PROPRIA         
2,SANTO AGOSTINHO - ASA,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,BERCARIO
2,SAO FRANCISCO - ASA,ACAO SOCIAL LARGO 13,BERCARIO
2,SAO JOSE,OBRAS SOCIAIS DO JARDIM RECANTO,BERCARIO
2,SAO JOSE OPERARIO I,INSTITUTO SILVA E SANTOS,BERCARIO
2,SAO LUCAS,CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL,BERCARIO
2,SAO LUIZ MARIE DE MONTFORT,CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO,BERCARIO
2,SAO MIGUEL,ASS COMUNITARIA DOS MORADORES DA VILA SAO JOSE E BELA VISTA,SALA DE RECREACAO             
2,SAPOPEMBA,ACAO COMUNIT. PAROQUIAL DO JD. COLONIAL PE. EMIR RIGON,FOYER / EXPOSICOES
2,SEMEANDO ALEGRIA,ASS COMUNITARIA SEMPRE VIVA,SALA DE ED. INFANTIL PROPRIA 
2,SEMEANDO O BEM II,ASS BENEFICENTE COMUNITARIA IRMAOS MAXI,BERCARIO
2,SEMEANDO O BEM III,ASSOCIAÇÃO GRÃO DE MOSTARDA,BERCARIO
2,SEMEANDO O BEM III,ASSOCIAÇÃO GRÃO DE MOSTARDA,SALA DE ED. INFANTIL PROPRIA 
2,SEMEANDO O FUTURO,ASSOCIAÇÃO PALOTINA,BERCARIO
2,SEMENTE DO AMANHA,COMUNIDADE KOLPING SAO FRANCISCO DE GUAIANASES,SALA DE ED. INFANTIL PROPRIA 
2,SEMENTINHA DA VIDA,ASS BENEFICENTE COMUNITARIA MAOS ESTENDIDAS,SALA DE ED. INFANTIL PROPRIA 
2,SEMENTINHA DO SABER,ASS COMUNITARIA AURI VERDE,BERCARIO
2,SEMENTINHAS DE ESPERANCA,ASSOCIAÇÃO BENEFICENTE LUZ DE UM NOVO MUNDO,BERCARIO
2,SEQUOIA,ASS BENEFICENTE 2001,BERCARIO
2,SER FELIZ II,SERVICO COMUNITARIO DO ITAIM PAULISTA,BERCARIO
2,SER FELIZ III,FRATERNIDADE IRMA AMELIA,SALA DE ED. INFANTIL PROPRIA 
2,SER FELIZ IV,FRATERNIDADE IRMA AMELIA,BERCARIO
2,SER FELIZ IV,FRATERNIDADE IRMA AMELIA,SALA DE ED. INFANTIL PROPRIA 
2,SERELEPE,ASSOCIAÇÃO BRASILEIRA DE PRESERVAÇÃO DA CAPOEIRA ALIANCA,SALA DE ED. INFANTIL PROPRIA 
2,SHADDAI,CONSCIENCIA RESPONSABILIDADE EDUCACAO E RESPEITO,SALA DE ED. INFANTIL PROPRIA 
2,SHEKINAH,ASS METODISTA DE ACAO SOCIAL AMAS TUCURUVI II,SALA DE ED. INFANTIL PROPRIA 
2,SHIRO KYONO VER,ASS BENEFICENTE CLUBE DE MAES ACAO FAMILIAS,BERCARIO
2,SMILES,ASS METODISTA DE ACAO SOCIAL AMAS TUCURUVI II,BERCARIO
2,SOL DO MEIO DIA,ASS COMUNITARIA DAS CRIANCAS CARENTES DA CIDADE TIRADENTES,BERCARIO
2,SOL DO MEIO DIA II,ACAO SOCIAL SAO MATEUS,BERCARIO
2,SOL DO MEIO DIA II,ACAO SOCIAL SAO MATEUS,SALA DE ED. INFANTIL PROPRIA 
2,SOL NASCENTE,FEDERACAO ESPIRITA DO ESTADO DE SAO PAULO,BERCARIO
2,SOL NASCENTE,FEDERACAO ESPIRITA DO ESTADO DE SAO PAULO,SALA DE RECREACAO             
2,SOL RADIANTE,CONS COMUNIT EDUC CULTURA E ACAO SOCIAL SOL DO AMANHECER,SALA DE ED. INFANTIL PROPRIA 
2,SONHO DE CRIANCA,ASSOCIACAO NOVOS HORIZONTES A COMUNIDADE,BERCARIO
2,SONHO LINDO,NUCLEO DE APOIO E DESENVOLVIMENTO HUMANO - NADHU,SALA DE ED. INFANTIL PROPRIA 
2,SONIA MARIA DOS ANJOS MARTINELLI,ASSOCIAÇÃO BENEFICENTE AMARAL OLIVEIRA,BERCARIO
2,SONIA MARIA DOS ANJOS MARTINELLI,ASSOCIAÇÃO BENEFICENTE AMARAL OLIVEIRA,SALA DE ED. INFANTIL PROPRIA 
2,SOSSEGO DA MAMAE,ASSOCIAÇÃO BRASILEIRA DE PRESERVAÇÃO DA CAPOEIRA ALIANCA,BERCARIO
2,SOSSEGO DA MAMAE,ASSOCIAÇÃO BRASILEIRA DE PRESERVAÇÃO DA CAPOEIRA ALIANCA,SALA DE ED. INFANTIL PROPRIA 
2,TALENTOS DO FUTURO,ASS E CENTRO DE APOIO SOCIAL E EDUC PARAISO INFANTIL ACASEPI,SALA DE AULA PROPRIA         
2,TAPIRAI,CENTRO SOCIAL LAUZANE PAULISTA,BERCARIO
2,TEOTONIO VILELA,ONG ALERTA CRIANÇA,BERCARIO
2,TEREZA DAVILA,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,SALA DE ED. INFANTIL PROPRIA 
2,TIA ANA,CRECHE CARROSSEL ENCANTADO,BERCARIO
2,TIA ANA,CRECHE CARROSSEL ENCANTADO,SALA DE AULA PROPRIA         
2,TIO DIDI,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,BERCARIO
2,TIQUATIRA,ASS POPULAR DE SAUDE,PISCINA                       
2,TIQUATIRA,ASS POPULAR DE SAUDE,PISO CIMENTADO                
2,TURMA DA MAFALDA II,ASSOCIAÇÃO COMUNITÁRIA FAZENDA DO CARMO,SALA DE ED. INFANTIL PROPRIA 
2,TURMINHA DA VILA,CARITAS CAMPO LIMPO CCL,BERCARIO
2,UNIAO DE VILA NOVA,SERVICO COMUNITARIO DO ITAIM PAULISTA,BERCARIO
2,UNIAO DE VILA NOVA II,ASSOCIAÇÃO MENINO DEUS,BERCARIO
2,UNIVERSO DA CRIANCA I,UNIAO DE NUCLEOS ASS DOS MORADORES DE HELIOPOLIS E REGIAO,SALA DE ED. INFANTIL PROPRIA 
2,UNIVERSO DA CRIANCA II,UNIAO DE NUCLEOS ASS DOS MORADORES DE HELIOPOLIS E REGIAO,SALA DE ED. INFANTIL PROPRIA 
2,VALE DOS SONHOS,ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES,BERCARIO
2,VALE DOS SONHOS,ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES,SALA DE ED. INFANTIL PROPRIA 
2,VICTORIA,ONG VIDA ENCANTADA,BERCARIO
2,VICTORIA,ONG VIDA ENCANTADA,SALA DE ED. INFANTIL PROPRIA 
2,VILA CRUZEIRO,ASS ADONAY DO JARDIM GUAIANASES,BERCARIO
2,VILA CRUZEIRO,ASS ADONAY DO JARDIM GUAIANASES,SALA DE ED. INFANTIL PROPRIA 
2,VILA IOLANDA,ASSOCIAÇÃO SANTA EDWIGES,BERCARIO
2,VILA NANCY,INSTITUTO EDUCACIONAL E DEF. DOS DIR.. HUMANOS CORA CORALINA,SALA DE ED. INFANTIL PROPRIA 
2,VILA PERUS,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,BERCARIO
2,VILA PIAUI,ASSOCIAÇÃO ASSISTENCIAL COMUNITARIA AZARIAS,BERCARIO
2,VILA RICA,CENTRO SOCIAL COMUNITARIO JARDIM PRIMAVERA,BERCARIO
2,VITORIA SERGIO BRANCO MARTINS,ASS DOS MORADORES DO JARDIM AUREA,SALA DE ED. INFANTIL PROPRIA 
2,VIVER E APRENDER I,INSTITUTO DE PROMOÇÃO EDUCACIONAL E CULTURAL CEU ESTRELADO,SALA DE ED. INFANTIL PROPRIA 
2,VIVER E CRESCER,CLUBE DE MAES DO JARDIM TURQUESA,SALA DE ED. INFANTIL PROPRIA 
2,VO CATARINA,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,BERCARIO
2,VO CATARINA,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,SALA DE ED. INFANTIL PROPRIA 
2,VO XINHA,UNIAO COMUNITARIA DE MULHERES DO JARDIM NAIR,SALA DE AULA PROPRIA         
2,VOVO ADELAIDE,INSTITUTO DE ACAO SOCIAL FORCA E VIDA,BERCARIO
2,VOVO ANA,ASSOCIAÇÃO DO TRABALHO EDUCACIONAL ESPORTIVO REC. E CULTURAL,BERCARIO
2,VOVO ANA,ASSOCIAÇÃO DO TRABALHO EDUCACIONAL ESPORTIVO REC. E CULTURAL,SALA DE ED. INFANTIL PROPRIA 
2,VOVO ANNA GOMES,INSTITUTO PRINCIPE DA PAZ,BERCARIO
2,VOVO FATIMA,ASSOCIAÇÃO AGREGANDO VALORES A VIDA,BERCARIO
2,VOVO FATIMA,ASSOCIAÇÃO AGREGANDO VALORES A VIDA,SALA DE ED. INFANTIL PROPRIA 
2,VOVO FATIMA II,ONG PLENO VIVER,SALA DE ED. INFANTIL PROPRIA 
2,VOVO LIDIA III,CRUZADA PRO INFANCIA,BERCARIO
2,VOVO LIDIA III,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL PROPRIA 
2,VOVO LOURIVAL,ASSOCIAÇÃO BENEFICENTE DIVINA GRAÇA,SALA DE ED. INFANTIL PROPRIA 
2,VOVO MARIA JULIA,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL PROPRIA 
2,VOVO MIRA,CRECHE ANTONIO ASSUNCAO FERREIRA,BERCARIO
2,VOVO NELSAO,ASS BENEFICENTE COMUNITARIA ANJOS DA ESPERANCA,SALA DE ED. INFANTIL PROPRIA 
2,VOVO NINITO,ONG PLENO VIVER,BERCARIO
2,VOVO OLINDA,ASS EDUCA SAO PAULO,SALA DE ED. INFANTIL PROPRIA 
2,VOVO VERA,ASS COMUNITARIA SEGUNDO MANDAMENTO,SALA DE ED. INFANTIL PROPRIA 
2,WALTHER SOMMERLATH,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,BERCARIO
2,YANNI,CENTRO COMUNITARIO JARDIM AUTODROMO,BERCARIO
2,ZE COLMEIA,ASSOCIACAO BENEFICENTE CAVALCANTE,SALA DE ED. INFANTIL PROPRIA 
2,ZEZINHO,ASSOCIAÇÃO BRUNA ROSA,BERCARIO
2,ZILDA ARNS,CENTRO DE ORIENTACAO A FAMILIA- COR,SALA DE RECREACAO             
3,A E DE CARVALHO,INSTTUTO CRIANCA CIDADA,BERCARIO
3,ABC AURORA II,INSTITUICAO DE PROMOCAO SOCIAL ALVORADA,BERCARIO
3,ABC DA CRIANCA,ASSOCIACAO BENEFICENTE DAS MULHERES VOLUNTARIOSAS DE SAO PAU,BERCARIO
3,ABELHINHA DOURADA I,ASS DE MORADORES DO JARDIM COMERCIAL E ADJACENCIAS,SALA DE ED. INFANTIL PROPRIA 
3,ABILIO CESAR,CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO,BERCARIO
3,ABILIO CESAR,CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO,SALA DE ED. INFANTIL PROPRIA 
3,ACALANTO,OBRA SOCIAL SAO JOSE DE VILA ZELINA,BERCARIO
3,ACAO SOCIAL LARGO 13 - ALMEIDA PRADO,ACAO SOCIAL LARGO 13,BERCARIO
3,ACOLHER I,ASSOCIAÇÃO EDUCAR PARA TRANSFORMAR,BERCARIO
3,ACOLHER I,ASSOCIAÇÃO EDUCAR PARA TRANSFORMAR,SALA DE ED. INFANTIL PROPRIA 
3,ACUCENA JORGE LIAN,SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA HOSPITAL ALBERT E,SALA DE ED. INFANTIL PROPRIA 
3,ADENIVO MENDES DE AQUINO,CENTRO DE TREINAMENTO DAS VIDAS - CT VIDAS,BERCARIO
3,AGUA VIVA,INSTITUICAO DE PROMOCAO SOCIAL ALVORADA,BERCARIO
3,AGUIA DE HAIA,INSTITUTO KWARAY,SALA DE ED. INFANTIL PROPRIA 
3,ALAMEDA DO BEBE,UNIAO SOCIAL BRASIL GIGANTE,BERCARIO
3,ALECRIM DOURADO,ASSOCIACAO CRISTA DE EDUCACAO INFANTIL SHAMMAH,SALA DE ED. INFANTIL ADAPTADA
3,ALEGRETTI,INSTITUICAO DE PROMOCAO SOCIAL ALVORADA,SALA DE ED. INFANTIL PROPRIA 
3,ALEGRIA DE APRENDER,INSTITUTO BINATI,SALA DE ED. INFANTIL PROPRIA 
3,ALEGRIA DE VIVER,ASS BENEFICENTE LUZ,SALA DE RECREACAO             
3,ALEM DO ARCO IRIS,CENTRO COMUNITARIO NOSSA SENHORA APARECIDA CCNSA,BERCARIO
3,ALFA E OMEGA,ASS BENEFICENTE LUZ,SALA DE AULA PROPRIA         
3,ALGODAO DOCE,INSTTUTO CRIANCA CIDADA,BERCARIO
3,ALPS,SAVIC - SOCIEDADE AMIGOS DE VILA CONSTANCA,SALA DE ED. INFANTIL PROPRIA 
3,ALPS LAJEADO,ASS BENEFICENTE COMUNITARIA AURORA,SALA DE ED. INFANTIL PROPRIA 
3,ALPS LAJEADO II,ASS BENEFICENTE COMUNITARIA AURORA,BERCARIO
3,ALPS-VILA IOLANDA,ASSOCIAÇÃO SANTA EDWIGES,BERCARIO
3,AMAS AGUA FRIA,COMEB - CONSELHO DE MINISTROS EVANGELICOS DO BRASIL,SALA DE ED. INFANTIL PROPRIA 
3,AME,SERVICO COMUNITARIO DO ITAIM PAULISTA,SALA DE RECREACAO             
3,ANA DE FATIMA,CENTRO SOCIAL SAO JOSE,SALA DE ED. INFANTIL PROPRIA 
3,ANA ELISABETH,ONG ALERTA CRIANÇA,BERCARIO
3,ANA GONCALVES DE SOUZA,INSTITUTO DE PROTEÇÃO Á INFÂNCIA DE SÃO PAULO - IPISP,SALA DE ED. INFANTIL PROPRIA 
3,ANA MAE BARBOSA,ASSOCIAÇÃO BENEFICENTE COMUNITARIA THEREZINHA DE JESUS,BERCARIO
3,ANA MARIA NACINOVIC CORREA,ASSOCIAÇÃO EM FAVOR E DEFESA DA COMUNIDADE,BERCARIO
3,ANA NERY,ASSOCIACAO BENEFICENTE CAVALCANTE,BERCARIO
3,ANANDA MARGA - UNIVERSO INFANTIL,MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE,SALA DE ED. INFANTIL PROPRIA 
3,ANDRE DE ALMEIDA,ONG ALERTA CRIANÇA,BERCARIO
3,ANEU GARANHANI,MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE,BERCARIO
3,ANGELINA,MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE,BERCARIO
3,ANGLICANA BERNARDO GIACOMINI GONCALVES,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,SALA DE ED. INFANTIL PROPRIA 
3,ANIVALDO FERREIRA PADILHA,INSTITUTO BEVENUTTO,BERCARIO
3,ANJO DE LUZ,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,SALA DE ED. INFANTIL PROPRIA 
3,ANNA CANDIDA BRASIL NAVARRO,ASSOCIACAO BENEFICENTE CAVALCANTE,BERCARIO
3,ANTONIO ELPIDIO DA SILVA,NUCLEO DE APOIO E DESENVOLVIMENTO HUMANO - NADHU,BERCARIO
3,ANUNCIACAO FERREIRA,INSTITUTO VIDA SAO PAULO,BERCARIO
3,APRENDENDO A VIVER,CRUZADA PRO INFANCIA,SALA DE AULA PROPRIA         
3,ARCA DO SABER,ASSOCIACAO RECREATIVA CULTURAL E ASSISTENCIAL - ARCA,SALA DE RECREACAO             
3,ARCO IRIS ENCANTADO,INSTITUTO NOVO TEMPO MUNDIAL,SALA DE ED. INFANTIL PROPRIA 
3,ARICANDUVA,APOIO ASSOCIAÇÃO DE AUXÍLIO MUTUO DA REGIÃO LESTE,BERCARIO
3,ARICANDUVA,APOIO ASSOCIAÇÃO DE AUXÍLIO MUTUO DA REGIÃO LESTE,SALA DE ED. INFANTIL PROPRIA 
3,ARTE DE BRINCAR,ASS COMUNITARIA DO JD SAO JORGE E ADJACENCIAS,SALA DE ED. INFANTIL PROPRIA 
3,ARVORE DO APRENDIZADO,INSTITUTO EDUCACIONAL E DEF. DOS DIR.. HUMANOS CORA CORALINA,BERCARIO
3,ARVORE DO APRENDIZADO,INSTITUTO EDUCACIONAL E DEF. DOS DIR.. HUMANOS CORA CORALINA,SALA DE ED. INFANTIL PROPRIA 
3,ARVORE DO APRENDIZADO II,UNIAO COMUNITARIA DE MULHERES DO JARDIM NAIR,SALA DE ED. INFANTIL PROPRIA 
3,ARY BARROSO,ASS CARIDADE HUMILDADE COMPAIXAO JD ELISA MARIA,SALA DE ED. INFANTIL PROPRIA 
3,ASBEN SEKOIA,ASS BENEFICENTE PARA HUMANIZACAO SOCIAL,BERCARIO
3,AUGUSTO DE OLIVEIRA,ASSOCIAÇÃO UNIAO E PROGRESSO DO PARQUE ARARIBA E ADJACENCIAS,SALA DE ED. INFANTIL PROPRIA 
3,AURORA BOREAL II,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,SALA DE ED. INFANTIL PROPRIA 
3,AVENTUREIROS MIRINS,ONG PLENO VIVER,BERCARIO
3,AVIVAH,ASS DO JARDIM SAO VICENTE E ADJACENCIAS,BERCARIO
3,BABY MARAVILHA,ASSOCIAÇÃO SEARA NORTE,BERCARIO
3,BABY MARAVILHA II,FUNDACAO COMUNIDADE DA GRACA,BERCARIO
3,BALAO DE BOLINHAS,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,BERCARIO
3,BALAO DE BOLINHAS,INSTITUTO EM PROL DA EDUCACAO INFANTIL CRIANCAS ESPETACULARE,SALA DE AULA PROPRIA         
3,BALTAZAR SANTANA,INSTITUTO DE ACAO SOCIAL AMIGOS DA CIDADE,BERCARIO
3,BAU DE SURPRESAS,ASS E CENTRO DE APOIO SOCIAL E EDUC PARAISO INFANTIL ACASEPI,BERCARIO
3,BEM MAIOR,ASS BENEFICENTE COMUNITARIA IRMAOS MAXI,SALA DE ED. INFANTIL PROPRIA 
3,BEM ME QUER JARDIM DA SAUDE,INSTITUTO ALMA MATER,SALA DE ED. INFANTIL PROPRIA 
3,BEM QUERER,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,SALA DE ED. INFANTIL PROPRIA 
3,BEM TE VI,CAMINHAR COM AMOR E A SOLUÇÃO,SALA DE ED. INFANTIL PROPRIA 
3,BENIGNA CARDOSO,INSTITUTO BEVENUTTO,BERCARIO
3,BERTELIM JESUS MOREIRA,ASS ESPIRITA AMPARO E ASSIST ESPIRITUAL BEZERRA DE MENEZES,SALA DE ED. INFANTIL PROPRIA 
3,BIELZINHO,CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA,BERCARIO
3,BIELZINHO,CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA,SALA DE ED. INFANTIL PROPRIA 
3,BOAVENTURA I,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,BERCARIO
3,BOAVENTURA III,ASS CULTURAL E EDUCACIONAL OLHOS BRILHANTES,BERCARIO
3,BOAVENTURA III,ASS CULTURAL E EDUCACIONAL OLHOS BRILHANTES,SALA DE ED. INFANTIL PROPRIA 
3,BOAVENTURA IV,INSTITUTO SOCIAL E EDUCACIONAL BOAVENTURA,BERCARIO
3,BOAVENTURA IV,INSTITUTO SOCIAL E EDUCACIONAL BOAVENTURA,SALA DE ED. INFANTIL PROPRIA 
3,BOM PASTOR,ASS FEMININA DAS SERVIDORAS PUBLICAS DO BRASIL AFEMI,BERCARIO
3,BOM SUCESSO,ASS FEM COMUN DO CONJ HABITACIONAL BRIGADEIRO EDUARDO GOMES,BERCARIO
3,BRAZ E MARIA,ASS COMUNITARIA AURI VERDE,BERCARIO
3,BRINCANDO COM A GENTE,INSTITUTO ASSISTENCIAL GIDEOES,SALA DE ED. INFANTIL PROPRIA 
3,BRINCANDO E APRENDENDO,ASSOCIAÇÃO EDUCACIONAL E CAPACITAÇÃO PROFISSIONAL BURGOS,BERCARIO
3,BRINCAR PARA CRESCER,ASSOCIAÇÃO EM FAVOR E DEFESA DA COMUNIDADE,BERCARIO
3,BRISA ANDRADE II,ACAO SOCIAL LARGO 13,SALA DE ED. INFANTIL PROPRIA 
3,BRUNA MIRANDA,ASSOCIAÇÃO BENEFICENTE RECANTO CRIANÇA FELIZ,BERCARIO
3,BURITI,CENTRO SOCIAL E BENEFICENTE CAMINHAR É PRECISO,BERCARIO
3,CAMELIAS,SERVICO COMUNITARIO DO ITAIM PAULISTA,BERCARIO
3,CAMINHANDO PARA O FUTURO II,ASSOCIAÇÃO BENFICIENTE COMUNITARIA BEM QUERER,BERCARIO
3,CAMINHAR,ASS CULTURAL E EDUCACIONAL OLHOS BRILHANTES,SALA DE ED. INFANTIL PROPRIA 
