dre,school,average_age
JT,ASS MORADORES ZONA NORTE UNID V JT,60.0
FO,ASSOCIACAO CANTAREIRA UNID X FO,60.0
SA,ASSOCIACAO CONQUISTANDO UM ESPACO I,60.0
JT,SOC AMIGOS VILA CONSTANCA SAVIC UNID I JT,60.0
CL,INSTITUTO SOCIAL SANTA LUCIA UNID XII,60.0
PJ,ASSOCIACAO ALEGRIA DE VIVER UNID II,60.0
CL,CLUBE DE MAES DO JARDIM TURQUESA,60.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS V,60.0
MP,ASS VOLUNTARIOS DO BRASIL UNID I MP,60.0
SA,CPDDH FREI TITO DE ALENCAR LIMA UNID IV SA,60.0
CL,SOCIEDADE SANTO MARTIRES UNID XVII MB,60.0
SM,AEC PADRE LUIZ SUTTER UNID XL SM,60.0
CS,ASSOC CRIA ADOL JOVEM ICARAI UNID X CS,59.0
IQ,CENTRO DE EDUCACAO SOCIAL FORCA DA MULHER,59.0
CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL,59.0
CS,SOC MORAD JD IMBUIAS UNID I CS,59.0
CL,CARITAS - NOSSA SENHORA DAS GRACAS,59.0
MP,ASS COM FLORESTAN FERNANDES UNID VIII MP,59.0
G,AVIB-ASSOCIACAO DE VOLUNTARIOS INTEGRADOS NO BRASIL,59.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID XVI G,59.0
PJ,CAPES - CENTRO ANHANGUERA DE PROMOCAO E EDUC SOC UNID II,59.0
MP,CENTRO DE EDUC DA ZONA LESTE UNID VIII MP,59.0
SM,AEC PADRE LUIZ SUTTER UNID XIX SM,59.0
CL,INSTITUTO SOCIAL SANTA LUCIA,59.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS X,59.0
IP,UNAS-UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO,59.0
SM,AEC PADRE LUIZ SUTTER UNID VIII SM,59.0
CS,ASSOCIACAO COMUNITARIA DO JARDIM IDEAL - UNID VI CS,59.0
CL,CARITAS - SENHOR DOS PASSOS,59.0
JT,ASS MORADORES DA ZONA NORTE,59.0
FO,CENTRO DE ASSISTENCIA SOCIAL DO JD PERI - UNID I,59.0
PE,CENTRO DE EDUCACAO DA ZONA LESTE,59.0
PJ,SOCIEDADE AMIGOS DE PERUS - UNID. I,59.0
SA,ASSOCIACAO CONQUISTANDO UM ESPACO III,58.0
SA,CENTRO COMUN JD AUTODROMO UNID I SA,58.0
PJ,ASSOCIACAO ALEGRIA DE VIVER UNID I PJ,58.0
CS,ASS COMUNITARIA JD IDEAL,58.0
IQ,ASS TRES IRMAOS UNID II IQ,58.0
CS,SOC MORAD JD IMBUIAS UNID II,58.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID IX G,58.0
PE,CENTRO DE EDUCACAO DA ZONA LESTE UNID IV PE,58.0
CS,CENTRO COM JD AUTODROMO UNID VII - CS,58.0
FO,INSTITUTO OIKOS,58.0
FO,ASSOCIACAO CANTAREIRA UNID XII FO,58.0
PE,ASS DE MUTUARIOS E MORADORES DA COHAB UNID I PE,58.0
SM,AEC PADRE LUIZ SUTTER UNID XII SM,58.0
CS,ASSOC COMUN CANTINHO DO CEU UNID II CS,58.0
MP,ASS TRES IRMAOS UNID X MP,58.0
FO,CLUBE DE MAES JD VISTA ALEGRE UNID III FO,58.0
PJ,CAPES - CENTRO ANHANGUERA DE PROM E EDUC SOC UNID III,57.0
CS,ESPACO FORM ASSES E DOCUMENTACAO UNID XXXVI CS,57.0
MP,GRUPO ORG EM DEFESA DA EDUC E CULTURA,57.0
