dre,school,average_age
SA,ACM - SANTO AMARO,13.0
FO,VISTA ALEGRE,13.0
JT,JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA,13.0
BT,INSTITUTO ANA ROSA,13.0
JT,MUTIRAO DO POBRE,13.0
CS,CARLOS FRANCISCO GASPAR,13.0
CL,VALE DAS VIRTUDES,13.0
CL,FAGUNDES VARELLA,13.0
PJ,ROGACIONISTA,13.0
CL,JARDIM PARANAPANEMA,13.0
CL,JARDIM SAO LORENCO,13.0
PJ,SEMEANDO VIDAS III,13.0
SA,SANTA LUCIA,13.0
JT,CASA DOM MACARIO,13.0
CL,RIVIERA,13.0
BT,PROF,13.0
PE,MARIELLE FRANCO,13.0
G,SEGUIR SONHANDO,13.0
CL,TEREZINHA MOTA DE FIGUEIREDO,13.0
IP,CELSO LEITE RIBEIRO FILHO,13.0
JT,RECANTO SAO JOSE,13.0
JT,LEAO XIII - SONIA VIDIGAL,13.0
MP,AMIGOS DA VITORIA,13.0
G,PARQUE CENTRAL,13.0
CS,ARIANO SUASSUNA,13.0
SM,BRASILIO MACHADO NETO,13.0
CS,IRMA AGOSTINA,13.0
SA,JOCA,13.0
FO,MORRO GRANDE,13.0
PE,EMILIANO DI CAVALCANTI,13.0
JT,RAUL DE LEONI,13.0
PJ,RECANTO DOS HUMILDES II,13.0
IP,SEGUNDA MILHA,13.0
JT,PADRE MENARD,13.0
MP,DARCY RIBEIRO,13.0
BT,IBRAHIM NOBRE,13.0
G,CEBECH CASTRO ALVES,13.0
IP,SAO PEDRO APOSTOLO - OASPA,13.0
BT,SANTA TERESA DE JESUS,13.0
CL,ALTO DA RIVIERA,13.0
CS,ULYSSES DA SYLVEIRA GUIMARAES,13.0
SM,MARTIN LUTHER KING JR,13.0
IP,AHIMSA ASSOCIACAO EDUCACIONAL PARA MULTIPLA DEFICIENCIA,13.0
JT,CIDADE NOVA,13.0
IP,IZAURA MARIA DA CONCEICAO,13.0
IP,ANTONIO DE ALCANTARA MACHADO,13.0
PJ,APROCIMA,13.0
PE,LUIS WASHINGTON VITA,13.0
SM,CEC ELIZABETH GASPERAVICIUS,13.0
CL,VALO VELHO,13.0
BT,LIGA SOLIDARIA,13.0
CL,JARDIM AURELIO,13.0
BT,CENTRO JUVENIL SALESIANO DOM BOSCO,13.0
CL,JARDIM INGA,13.0
MP,VILA ITAIM,13.0
IP,ITALIANOS,13.0
MP,VIRGILIO DE MELLO FRANCO,13.0
SM,NUCLEO CULTURAL SONHO JOVEM,13.0
PJ,SEMEANDO VIDAS IV,13.0
BT,PEDRO LUIZ,13.0
IP,SANTO AGNELO,13.0
CS,PE. FRANCO VILLA,13.0
FO,PLINIO AYROSA,13.0
SM,SEMEANDO ESPERSANCA,13.0
IP,COR,13.0
SM,CEC SAMMUTTI,13.0
G,VILA SAO GERALDO,13.0
CL,INSTITUTO RURAL,13.0
PE,BOTURUSSU,13.0
PE,CEC A NOSSA CASA,13.0
JT,EDSON RODRIGUES,13.0
SM,CARLOS MARIGHELA,13.0
PJ,LAR DAS CRIANCAS,13.0
FO,ARTE NA RUA,13.0
CS,AMAI I - VILA ARCO IRIS,13.0
CL,JARDIM DAS ROSAS,13.0
CS,IVM,13.0
CS,RECONCILIACAO,13.0
BT,TARSILA DO AMARAL,13.0
SA,AFAGO,13.0
CL,IPAVA,13.0
SM,SONIA MARIA MACHADO,13.0
IQ,PROJETO JOSE DE ANCHIETA,13.0
SM,SAB - SAPOPEMBA,13.0
IP,PAM,13.0
PJ,ANTONIO ALVES VERISSIMO,13.0
MP,VILA CURUCA,13.0
SM,RUBENS PAIVA,13.0
BT,CENTRO EDUCATIVO FREI LUIZ AMIGO - CEFLA,13.0
SM,ACLAMADO,13.0
SM,CEC SAO FRANCISCO E SANTO ANDRE,13.0
PJ,ACM LAPA,13.0
CL,NOSSA SENHORA APARECIDA I,13.0
CL,SAO LUIZ GONZAGA,13.0
SM,ALCEU AMOROSO LIMA,13.0
PJ,MARIO KOSEL FILHO,13.0
IP,IRMA JACINTA,13.0
CL,M BOI MIRIM I,13.0
IP,PROVIM - PROGRAMA VIDA MELHOR - DOM BOSCO,13.0
SA,MARINA VIEIRA DE CARVALHO MESQUITA,13.0
MP,PADRE TICAO,13.0
SA,JOAO GUALBERTO DO AMARAL CARVALHO,13.0
FO,ZILKA SALABERRY DE CARVALHO,13.0
PE,CASA FILADELFIA,13.0
G,CASA DOS MENINOS I,13.0
BT,LIGA SOLIDARIA - UNIDADE SABIA,13.0
CL,ANTONIO ESTANISLAU DO AMARAL,13.0
CL,ANNA SILVEIRA PEDREIRA,13.0
BT,RECANTO DOS PASSAROS,13.0
MP,PARQUE PAULISTANO,13.0
G,CEBECH INACIO MONTEIRO,13.0
CL,CIDADE IPAVA,13.0
JT,SOLID ROCK,13.0
G,VILA YOLANDA,13.0
MP,NOVA UNIAO,13.0
MP,ARMANDO CRIDEY RIGHETTI,13.0
CS,ARCO IRIS III,13.0
PJ,PADRE PIO,13.0
IP,ALTINO ARANTES,13.0
JT,CURUCA,13.0
CS,SANTA FE,13.0
MP,JARDIM SILVA TELES,13.0
SM,C.E.C. JOAO PAULO II,13.0
MP,ADEMIR DE ALMEIDA LEMOS,13.0
IP,PARCEIROS DA CRIANCA,13.0
SM,CEC SAO PEDRO,13.0
JT,HIPOLITO JOSE DA COSTA,13.0
IP,DORALINA MANCINI,13.0
JT,FRATERNIDADE,13.0
SA,FREI TITO,13.0
CL,CAMPO LIMPO II,13.0
SM,OLIVAL COSTA,13.0
IQ,JUNTOS I,13.0
SA,SEARA BENDITA,13.0
IP,GERACAO DO FUTURO,13.0
CS,AMA II,13.0
MP,TERCEIRO MILENIO ITAIM VI,13.0
MP,ARTE DE SER FELIZ,13.0
SM,PROJETO VIDA,13.0
FO,JOAO AMOS COMENIUS,13.0
IP,NUCLEO 120,13.0
G,ALEXANDRE VANNUCHI LEME,13.0
CL,IMACULADA CONCEICAO,13.0
PJ,MADRE NAZARENA,13.0
CS,SERRA DO MAR,13.0
CL,GIANFRANCESCO GUARNIERI,13.0
CL,PADRE JAIME,13.0
JT,ASSORAVIM,13.0
SA,VILLA CRIANCA FELIZ,13.0
IP,IRINEU MARINHO,13.0
PJ,BATISTA,13.0
PE,SAO NICOLAU,13.0
SA,CASA DOS CURUMINS,13.0
IP,AZIZ NACIB AB SABER,13.0
PE,JARDIM KERALUX,13.0
PJ,GUADALUPE,13.0
SM,CEC JARDIM ITAPOLIS,13.0
CL,JARDIM SAO BENTO,13.0
SA,PRESTES MAIA,13.0
BT,JOSE DE ALCANTARA MACHADO FILHO,13.0
JT,JOVA RURAL II,13.0
IP,HELIOPOLIS,13.0
PJ,GERACAO DE SAMUEL,13.0
JT,IASE,13.0
CL,QUADRANGULAR,13.0
PE,19 DE NOVEMBRO,13.0
CL,OBRA DO BECO - NOSSA VIDA NOSSA ARTE,13.0
IP,CENTRO EDUCACIONAL DOM ORIONE,13.0
PJ,JAIRO RAMOS,13.0
SA,PEDREIRA - MAR PAULISTA - GUACURI,13.0
IP,LAGOA,13.0
CL,OTONIEL MOTA,13.0
IP,PLACIDO DE SOUZA FILHO,13.0
MP,ACAS,13.0
SA,CIDADE JULIA,13.0
IP,ZILDA ARNS,13.0
BT,INSTITUTO BLANDINA,13.0
MP,SITIO DA CASA PINTADA - MOCA,13.0
SA,GROSSARL CAMPO GRANDE,13.0
CL,MAURO FACCIO GONCALVES - ZACARIA,13.0
PJ,VILA CUORE,13.0
IP,SANTA CRISTINA,13.0
IQ,CCA -JARDIM DAS ROSAS,13.0
SA,PARQUE SANTA AMELIA E ADJACENCIAS,13.0
IP,CASA DA CRIANCA SANTA ANGELA,13.0
IP,LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA,13.0
MP,PEDRO FUKUYEI YAMAGUCHI FERREIRA,13.0
PJ,RECANTO DOS HUMILDES,13.0
IP,CASA DE SAO JOSE,13.0
JT,MUTIRAO JARDIM FONTALIS,13.0
CS,CONOSCO,13.0
JT,AQUARELA BIASI,13.0
SM,JARDIM LARANJEIRAS,13.0
MP,ENSINANDO E APRENDENDO / JARDIM SAO CARLOS,13.0
G,VILA PAULISTA,13.0
PE,BOM JESUS DO CANGAIBA,13.0
SA,DOM BOSCO,13.0
SA,ANTENOR NASCENTES,13.0
SA,VIDA E CONVIVENCIA,13.0
BT,RECANTO SANTA MONICA,13.0
CS,ARTE & EDUCACAO - ANCHIETA,13.0
PJ,SAL DA TERRA,12.0
FO,PARQUE BELEM,12.0
JT,ACM CENTRO DE SESENVOLVIMENTO COMUNITARIO VILA MARIA,12.0
CL,BANDEIRANTES E UNIVERSAL,12.0
PJ,NSE CENTRO SOCIAL CORACAO DE MARIA,12.0
FO,ELISA MARIA,12.0
JT,DRA ZILDA ARNS NEUMANN,12.0
BT,SANTA ROSA I,12.0
SM,NOSSA SENHORA DE GUADALUPE,12.0
CL,JARDIM IBIRAPUERA,12.0
PJ,AMIGOS DAS CRIANCAS DO SAO DOMINGOS,12.0
IQ,NOVO LAR BETANIA,12.0
MP,AMANHA-SER,12.0
PJ,JARDIM PIRITUBA,12.0
PJ,ALEGRIA DE VIVER,12.0
PJ,ELO DE AMOR,12.0
IP,CIDADE DO SOL / IMPERADOR,12.0
FO,CANARINHO,12.0
CL,SAO JOAQUIM,12.0
CL,SAO FRANCISCO,12.0
FO,JARDIM PRINCESA,12.0
IQ,SANTO ANTONIO II,12.0
CS,PARQUE FLORESTAL,12.0
JT,CEAS SANTA TERESINHA,12.0
PE,PALMARES,12.0
CL,DONA DIVA,12.0
PJ,SEMEANDO VIDAS VI,12.0
IQ,ARICANDUVA AMAP,12.0
CL,LAR SAO TIAGO,12.0
CL,MAE ADMIRAVEL,12.0
CL,CASA DA CRIANCA E DO ADOLESCENTE,12.0
SM,PADRE MOREIRA,12.0
JT,JOVA RURAL III,12.0
SA,REINO DA CRIANCA,12.0
FO,ANA MARIA,12.0
CS,JOSE RAMOS FILHO,12.0
PE,PADRE JOSE,12.0
SA,MIOSOTIS,12.0
CS,CRESCER II,12.0
SM,ANTONIO PREVIATO,12.0
IP,PADRE GREGORIO WESTRUPP,12.0
IP,SAO PATRICIO,12.0
JT,SOLID ROCK BRASIL II,12.0
SA,MADRE RITA AMADA DE JESUS,12.0
SA,CDC LEIDE DAS NEVES,12.0
JT,NOSSA SENHORA APARECIDA II,12.0
BT,NAIA,12.0
PJ,CAMILLE FLAMMARION,12.0
CS,GAIVOTAS,12.0
IP,JARDIM CLIMAX,12.0
PJ,BETSAIDA,12.0
SM,RODOLFO PIRANI,12.0
IQ,CASA DO CRISTO REDENTOR,12.0
IP,EDUCANDARIO SAGRADA FAMILIA,12.0
SA,CARLOS AUGUSTO DE QUEIROZ ROCHA,12.0
FO,MARY,12.0
SA,AME,12.0
CL,PEINHA,12.0
FO,SANTO EXPEDITO,12.0
SA,ANHANGUERA,12.0
SA,CENTRO SOCIL ESPERANCA,12.0
MP,CRIANCA CIDADA,12.0
BT,CASULO,12.0
FO,BEIJA FLOR,12.0
IP,PASCHOAL BIANCO,12.0
PJ,JARDIM BRITANIA,12.0
SM,SANTA MADALENA,12.0
PJ,FILHOS DA TERRA,12.0
PE,NUCLEO SOCIO EDUCATIVO NOSSO LAR,12.0
PJ,APAE - NUCLEO PIRITUBA,12.0
FO,PARQUE MANDY,12.0
CL,MARIO FITTIPALDI,12.0
SM,CEC EMILIA MENDES DE ALMEIDA,12.0
SM,DANIEL COMBONI V,12.0
MP,PARQUE SAO CARLOS,12.0
PE,VILA LONDRINA,12.0
IP,ESTACAO ADOLESCER,12.0
G,VILA PRINCESA IZABEL - 3 MILENIO,12.0
CL,FEITICO DA VILA,12.0
PE,PERSEVERANCA I,12.0
JT,JOVA RURAL I,12.0
CL,AGLAEZINHA,12.0
SA,SAO CARLOS,12.0
IP,GEORGINA DO CARMO MOREIRA,12.0
JT,SOLID ROCK VILA MEDEIROS,12.0
IQ,AMAS - VILA FORMOSA,12.0
IQ,SAO JOSE,12.0
PE,GOTAS DE ESPERANCA,12.0
FO,ACM NORTE,12.0
PE,SANTO ESTEVAO,12.0
FO,ENRICO GIUST,12.0
BT,ASA PRIMAVERA,12.0
CL,EUCLIDES DA CUNHA,12.0
PE,CES SAO FRANCISCO DE ASSIS,12.0
G,JOEL FERNANDES DE SOUZA,12.0
PJ,LAR DA CRIANCA,12.0
SA,CARMEM MENDES CONCEICAO,12.0
JT,DOM LUCIANO MENDES DE ALMEIDA,12.0
IP,BRINCAR DE VIVER,12.0
SM,VILA BELA,12.0
PJ,VILA FANTON,12.0
CS,TATIANA BELINKY,12.0
BT,JARDIM PAULO VI,12.0
SM,CONSTRUIR O AMANHA,12.0
BT,NOSSA SRA. DA PROVIDENCIA,12.0
SM,ARMANDO DE SALLES OLIVEIRA,12.0
SM,JARDIM SAPOPEMBA,12.0
PJ,SEMEANDO VIDAS V,12.0
IP,JOSE DO PATROCINIO,12.0
MP,RAUL PILLA,12.0
CS,FREI LEONEL,12.0
PJ,ALEGRIA E VIDA,12.0
JT,JARDIM BRASIL,12.0
MP,XICO ESVAEL,12.0
CL,ARCO,12.0
BT,SANTA ROSA II,12.0
SM,CEC CARRAOZINHO,12.0
IP,AMAS LIBERDADE,12.0
JT,MURIALDO,12.0
PE,SANTA MIRIAM,12.0
FO,THEO DUTRA,12.0
CL,JARDIM GUARUJA,12.0
CL,JARDIM ANA MARIA,12.0
CL,NOSSA SENHORA AUXILIADORA,12.0
MP,AMIGOS DA ESPERANCA,12.0
BT,SAO PAULO DA CRUZ,12.0
PJ,NOSSA SENHORA DOS REMEDIOS,12.0
PJ,PROF. JOSE HERCULANO PIRES I,12.0
IP,RECANTO GAETANO E CARMELA,12.0
CS,CASTRO ALVES,11.0
CS,LOURIVAL BRANDAO DOS SANTOS,11.0
PJ,CITY JARAGUA IV,11.0
CS,PLINIO MARCOS,11.0
SA,GAOS,11.0
PE,NOSSO LAR - TATUAPE,11.0
CS,SANTA MARCELINA,11.0
MP,NAZARETH VIDA NOVA,11.0
CL,CHACARA SONHO AZUL,11.0
CS,VARGEM GRANDE,11.0
CS,PEDRO GERALDO SCHUNCK,11.0
PJ,SANTA CLARA,11.0
IQ,JOSE BONIFACIO,11.0
JT,LAR BATISTA DE CRIANCAS,11.0
FO,MARIA CLARA MACHADO,11.0
CS,VILA RUBI,11.0
CL,JARDIM COIMBRA,11.0
CL,VINICIUS DE MORAES,11.0
PJ,JARDIM DA CONQUISTA,11.0
IP,CONSTRUINDO O FUTURO,11.0
IQ,MENINOS E MENINAS DO ABC AURORA,11.0
FO,CANDIDO PORTINARI,11.0
PE,CEC CRISTO REI,11.0
JT,JOAO PAULO I,10.0
FO,CRIANCA FELIZ,10.0
CL,CEDRO DO LIBANO II,10.0
CS,VARGEM GRANDE II,10.0
CL,AGUAS DE MARCO,10.0
PJ,JARDIM MONTE BELO,10.0
BT,JOAO XXIII,10.0
G,VILA MARILENA,10.0
CL,CEDRO DO LIBANO I,10.0
IP,NOSSA SENHORA DO CARMO,10.0
SA,GOTAS DE FLOR COM AMOR,10.0
MP,INSTITUTO SEVERINO FABRIANI PARA CRIANCAS SURDAS,10.0
IP,CRE-SER,10.0
SA,ALEGRIA,10.0
CS,JARDIM ELIANA,10.0
G,AYANDA - ADAO MANOEL DA SILVA,10.0
MP,ALPS,10.0
CL,ESTRELA NOVA,10.0
CL,ARRASTAO,10.0
SA,SETE PRAIAS,10.0
CL,MONTE AZUL,10.0
CS,CIDADE DUTRA,9.0
CS,ZUMBI DOS PALMARES,9.0
PJ,PAULO VI,9.0
CL,SAO GABRIEL,9.0
FO,FORHUM LAR,9.0
SM,JARDIM VERA CRUZ,9.0
IQ,SAO JOSE OPERARIO,9.0
CL,JARDIM MITSUTANI,9.0
CS,SANTA RITA DE CASSIA,9.0
FO,SANTA CRUZ,9.0
IP,BELA VISTA,9.0
FO,BOM JESUS,9.0
IQ,PIRATININGA,9.0
FO,MONTEIRO LOBATO,9.0
MP,PARQUE SANTA RITA,9.0
SM,DANIEL COMBONI I,9.0
CS,JARDIM SILVEIRA,9.0
PJ,RAINHA DA PAZ,9.0
SM,MARIA CURSI,9.0
IP,PARQUE BRISTOL,9.0
MP,ARCA DO SABER,9.0
PJ,JARDIM IPANEMA,9.0
SM,ALTO ALEGRE,9.0
G,VILA CRUZEIRO,9.0
PJ,RECANTO DOS HUMILDES I,9.0
JT,LAR PARAISO DAS CRIANCAS,8.0
CL,SAO SEBASTIAO,8.0
MP,JARDIM EVA,8.0
G,CIDADE TIRADENTES IV,8.0
SM,JARDIM COLONIAL,8.0
PJ,JAGUARE,8.0
CS,CANAL DO COCAIA,8.0
MP,AFRANIO PEIXOTO,8.0
SA,JARDIM AMERICANOPOLIS,8.0
SM,BENJAMIN CONSTANT,8.0
IQ,ANTONIO GONCALVES DIAS,8.0
FO,SANTA TEREZINHA,8.0
PE,JOAO MENDONCA FALCAO,8.0
SM,JARDIM TIETE,8.0
SA,CRUZ DE MALTA,8.0
JT,JOSE BONIFACIO DE ANDRADA E SILVA,8.0
MP,LUIZA HELENA DE BARROS,8.0
PE,BRAZ JAIME ROMANO,8.0
CS,PARQUE COCAIA II,8.0
SA,SANTA CECILIA,8.0
MP,GLOBO DO SOL,8.0
G,MAGDALENA TAGLIAFERRO,8.0
G,ESPACO KAIROS VIII,8.0
FO,CLARICE LISPECTOR,8.0
PJ,VILA ATLANTICA,8.0
MP,DILSON FUNARO,8.0
CS,SANTA LUZIA,8.0
PE,CAMINHANDO PARA O FUTURO,8.0
CS,CAMINHO DOS MARTINS,8.0
PE,ISA SILVEIRA LEAL,8.0
CS,GRAJAU,8.0
SA,GELOIRA DE CAMPOS,8.0
SA,TIAOZINHO,8.0
JT,EDUARDO CARLOS PEREIRA,8.0
FO,CORACAO MATERNO,8.0
IQ,ERNANI SILVA BRUNO,8.0
CL,CAMPO LIMPO VI,8.0
IP,ANGELO MARTINO,8.0
CS,VARGEM GRANDE I,8.0
PJ,SOL NASCENTE,8.0
FO,MENINO DEUS,8.0
SA,MAMAE,8.0
PJ,FILHOS DO REI,8.0
SA,PEDREIRA I,8.0
G,EDNA ALVES DE SOUSA PROFA,8.0
SM,NINI DUARTE,8.0
CL,PARQUE SANTO ANTONIO I,8.0
IP,FLORESCER,8.0
MP,ANTON MAKARENKO,8.0
IP,JOAO PAULO II,8.0
IP,CLARET,8.0
JT,VO XINHA,8.0
PJ,JARDIM PANAMERICANO,8.0
MP,JOSE DE ALENCAR,8.0
CL,CASA BLANCA,8.0
CS,SAO NORBERTO,8.0
PE,MARCILIO DIAS,8.0
MP,EPITACIO PESSOA,7.0
PJ,VILA ANGLO,7.0
SM,IGUATEMI,7.0
CL,ANISIO TEIXEIRA,7.0
CS,VIRIATO CORREIA,7.0
IP,CIDADE DO SOL,7.0
MP,GRACILIANO RAMOS,7.0
FO,PORTO NACIONAL,7.0
MP,J.G. DE ARAUJO JORGE,7.0
CL,VILA CALU I,7.0
JT,CENT COMUN JOAO PAULO I - NC CON ANTONIO TOZELLI,7.0
CS,NOSSA SENHORA DE FATIMA,7.0
PE,ALUISIO DE AZEVEDO,7.0
SA,VIRGILIO TAVORA,7.0
MP,SEVERINO DO RAMO,7.0
CL,PARQUE BOLOGNE,7.0
PE,GUILHERME RUDGE,7.0
PJ,CAMBALHOTA,7.0
CS,AURELIO BUARQUE DE HOLANDA FERREIRA,7.0
FO,CRECHE TIA LOURDES,7.0
MP,JARDIM CAMARGO NOVO,7.0
JT,ARTHUR ETZEL,7.0
IQ,SAO JOAO BATISTA,7.0
JT,FLAVIO IMPERIO,7.0
JT,CIDADE FERNAO DIAS,7.0
IQ,JARDIM SANTA TEREZINHA,7.0
G,JULIA SAPUCAIA,7.0
G,WILSON REIS SANTOS,7.0
SA,VILA SANTA CATARINA,7.0
FO,OLAVO BILAC,7.0
SA,RAUL JOVIANO DO AMARAL,7.0
IP,GABRIEL PRESTES,7.0
SM,APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA,7.0
IP,BETTY LAFER,7.0
IP,QUINTAL DA CRIANCA,7.0
BT,PEDROSO DE MORAES,7.0
CS,SERGIO CARDOSO,7.0
MP,CLEMENCIA FERREIRA DA SILVA,7.0
JT,MARGARETH DE FATIMA MARQUES DE AZEVEDO,7.0
SM,MARIO DE ANDRADE,7.0
IP,JOSE VERISSIMO,7.0
IP,OTAVIO JOSE DA SILVA JUNIOR,7.0
JT,DINA KUTNER DE SOUZA - DINA SFAT,7.0
IP,ALBERTO DE OLIVEIRA,7.0
PJ,ANTONIO RAPOSO TAVARES,7.0
IQ,JARDIM VILA NOVA,7.0
G,TOMAS GALHARDO,7.0
CL,JOAQUIM MANUEL DE MACEDO,7.0
PE,TOMAS ANTONIO GONZAGA,7.0
JT,MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO,7.0
PE,QUINTINO BOCAIUVA,7.0
CS,JARDIM SAO BERNARDO,7.0
MP,ANTONIO LAPENNA,7.0
CS,JARDIM MYRNA,7.0
G,RODRIGUES DE ABREU,7.0
SA,JARDIM APURA,7.0
JT,ANA NERI,7.0
BT,TIDE SETUBAL,7.0
CS,PARQUE BRASIL,7.0
IQ,FLORINDA ROBERTO QUEIROZ DE CASTRO,7.0
IQ,JOSE DUARTE,7.0
SM,EDER SADER,7.0
SM,MANOEL FIEL FILHO,7.0
MP,ORMINDA PINTO,7.0
CS,LUIS TRAVASSOS,7.0
CL,ARACY DE ALMEIDA,7.0
CL,PAULO ZINGG,7.0
JT,AMAS TUCURUVI,7.0
SM,RACHEL MESQUITA DE SALLES OLIVEIRA,7.0
SA,BORBA GATO,7.0
SM,JARDIM DA CONQUISTA II,7.0
PJ,PEDRO DE TOLEDO,7.0
SM,MANOEL DE ALVARENGA FREIRE JUNIOR PROF,7.0
CL,MORUMBI,7.0
CL,ANDORINHA DOS BEIRAIS,7.0
G,VALDIR AZEVEDO,7.0
IQ,JOAO RUBENS MARCELO,7.0
SM,DANTON CASTILHO CABRAL,7.0
PE,IBIAPABA MARTINS,7.0
PJ,RICARDO GONCALVES,7.0
BT,ALUISIO DE ALMEIDA,7.0
CL,MITSUTANI,7.0
CL,CARLOS DE LAET,7.0
IQ,RONALD DE CARVALHO,7.0
IP,QUINTA DAS PAINEIRAS,7.0
SA,NEUSA MARIA ROSSI,7.0
PE,LEONARDO ARROYO,7.0
CS,SAO FRANCISCO DE ASSIS,7.0
SM,FRANCISCO ADAUTO RODRIGUES,7.0
SM,CECILIA MEIRELLES,7.0
IQ,MIROEL SILVEIRA,7.0
CS,ANGELO KRETA,7.0
BT,ANTONIO BENTO,7.0
PE,PEDRO BRASIL BANDECCHI,7.0
MP,MARECHAL TITO,7.0
SA,TRAVESSA DOS SONHOS,7.0
CS,JARDIM LUCELIA,7.0
IP,AFONSO CELSO,7.0
IP,SANTO DIAS DA SILVA,7.0
IP,LICEU,7.0
PJ,JULIO ALVES PEREIRA,7.0
BT,OSCAR PEDROSO HORTA,7.0
SM,BIELZINHO I,7.0
CS,JARDIM NOVO PARELHEIROS I,7.0
CL,BARBARA HELIODORA GUILHERMINA DA SILVEIRA,7.0
IP,LIBERDADE,7.0
PJ,JORGE AMADO,7.0
CL,CHACARA SANTA MARIA,7.0
PE,EVARISTO DA VEIGA,7.0
CS,JOSE ROSCHEL CHRISTI - JUCA ROCHA,7.0
SA,CIDADE ADEMAR III,7.0
FO,JULIO DE MESQUITA FILHO,7.0
BT,RIO PEQUENO I,7.0
FO,DULCE HAUCK,7.0
IP,PATRICIA GALVAO,7.0
BT,MONTE CASTELO,7.0
FO,FELIPE MESTRE JOU,7.0
PJ,ANTONIO MUNHOZ BONILHA,7.0
IQ,NAJLA CURI IZAR,7.0
CS,VILA NATAL,7.0
IP,JOAO THEODORO,7.0
PJ,MARIA JOSE DUPRE,7.0
IP,ANTONIO FRANCISCO LISBOA,7.0
SM,CLOVIS BEVILACQUA,7.0
SA,FRANCISCO MANUEL DA SILVA,7.0
SM,VICENTE DE CARVALHO,7.0
FO,NAIR CORREA BUARQUE,7.0
SM,JOSE CLEMENTE PEREIRA,7.0
IQ,BEGONIA REAL,7.0
IP,PAULO FREIRE,7.0
G,AMACIO MAZZAROPI,7.0
CL,RUBENS NASCIMENTO DA SILVA - MEXICANO,7.0
G,SAMUEL WAINER,7.0
FO,7 DE SETEMBRO,7.0
PJ,RODOLFO TREVISAN,7.0
FO,25 DE JANEIRO,7.0
MP,DORALICE PEREIRA DE SOUZA LEONARDO,7.0
PJ,PEROLA ELLIS BYINGTON,7.0
FO,ECUMENICO STO EXPEDITO,7.0
SM,JARDIM PREMIANO,7.0
IP,DELFINO AZEVEDO,7.0
PE,MARIA LACERDA DE MOURA,7.0
FO,CAIO GRACO DA SILVA PRADO,7.0
CL,ANTONIO DE PADUA,7.0
G,CARLOTA PEREIRA DE QUEIROZ,7.0
SM,VILA FLAVIA,7.0
PJ,JARDIM JARAGUA,7.0
PE,MARY BUARQUE,7.0
BT,BUTANTA,7.0
SM,ATAULFO ALVES,7.0
MP,PARQUE SANTA RITA I,7.0
CL,JARDIM UMARIZAL,7.0
CS,MARIALICE MENCARINI FORACCHI,7.0
IP,BRENNO FERRAZ DO AMARAL,7.0
JT,JOSE JOAQUIM DA SILVA,7.0
IP,VILA EMA,7.0
SM,FELIPE DOLIVEIRA,7.0
CL,PERIMETRAL I,7.0
SM,JESUINA NUNES BARBOSA,7.0
CL,CATULO DA PAIXAO CEARENSE,7.0
CS,NELSON MANDELA,7.0
SA,MACHADO DE ASSIS,7.0
SA,ELOYSE I,7.0
FO,MANUEL BANDEIRA,7.0
PE,CASPER LIBERO,7.0
MP,LEILA DINIZ,7.0
IP,BOM RETIRO,7.0
IQ,VILA VERDE,7.0
IP,BATISTA CEPELOS,7.0
CL,DOLORES DURAN,7.0
PJ,ESTRADA TURISTICA DO JARAGUA,7.0
FO,MANOEL PRETO,7.0
IP,SAO PAULO,7.0
PJ,PARADA DE TAIPAS,7.0
IP,OSWALDO CRUZ,7.0
SM,CARMEM MIRANDA,7.0
CS,JARDIM GAIVOTAS,7.0
CL,MARIO SETTE,7.0
SM,CHIQUINHA GONZAGA,7.0
PJ,ESTRADA DO CORREDOR,7.0
CL,ROBERTO BURLE MARX,7.0
G,PAULO CAMILHIER FLORENCANO,7.0
PJ,JEAN PIAGET,7.0
FO,ANTONIO CALLADO,7.0
PE,MARIO GRACIOTTI,7.0
SM,JOSE MAURO DE VASCONCELOS,7.0
IQ,FORMOSA,7.0
MP,TRES PONTES,7.0
IP,ANTONIO FIGUEIREDO AMARAL,7.0
CL,NOSSA SENHORA APARECIDA,7.0
SA,CRUZ E SOUSA,7.0
IP,ICAMI TIBA,7.0
CS,CLARA NUNES,7.0
PE,FERNANDO SABINO,7.0
CL,SANTA EDWIGES,7.0
G,ELISA KAUFFMANN ABRAMOVICH,7.0
FO,MARTINS FONTES,7.0
G,ODUVALDO VIANA FILHO,7.0
PE,NENE DO AMANHA,7.0
PJ,ZELIA GATTAI,7.0
PJ,OLIVEIRA LIMA,7.0
IQ,JARDIM MARILIA,7.0
CL,LUIS DA CAMARA CASCUDO,7.0
SA,LAUDO FERREIRA DE CAMARGO,7.0
CL,GEORGE SAVALLA GOMES - CAREQUINHA,7.0
PE,CASA DA CRIANCA,7.0
CS,NOVA AMERICA,7.0
BT,CLYCIE MENDES CARNEIRO,7.0
SM,ELIS REGINA,7.0
SA,JARDIM MARIA LUIZA,7.0
PE,RODRIGO SOARES JUNIOR,7.0
JT,CARLOS GOMES,7.0
PE,ROBERTO VICTOR CORDEIRO,7.0
CL,PIRAJUSSARA,7.0
CL,ASSIS CHATEAUBRIAND,7.0
SM,ORIGENES LESSA,7.0
CS,JARDIM IDEAL,7.0
